Player,Club,Nationality
Keylor Navas,Paris Saint-Germain,Costa Rica
Sergio Rico,Paris Saint-Germain,Spain
Marcin Bulka,Paris Saint-Germain,Poland
Alexandre Letellier,Paris Saint-Germain,France
Garissone Innocent,Paris Saint-Germain,Haiti
Denis Franchi,Paris Saint-Germain,Italy
Marquinhos,Paris Saint-Germain,Brazil
Presnel Kimpembe,Paris Saint-Germain,France
Thilo Kehrer,Paris Saint-Germain,Germany
Abdou Diallo,Paris Saint-Germain,Senegal
Timothée Pembélé,Paris Saint-Germain,France
Juan Bernat,Paris Saint-Germain,Spain
Layvin Kurzawa,Paris Saint-Germain,France
Colin Dagba,Paris Saint-Germain,France
Leandro Paredes,Paris Saint-Germain,Argentina
Danilo Pereira,Paris Saint-Germain,Portugal
Idrissa Gueye,Paris Saint-Germain,Senegal
Marco Verratti,Paris Saint-Germain,Italy
Rafinha,Paris Saint-Germain,Brazil
Ander Herrera,Paris Saint-Germain,Spain
Xavi Simons,Paris Saint-Germain,Netherlands
Bandiougou Fadiga,Paris Saint-Germain,France
Edouard Michut,Paris Saint-Germain,France
Ismaël Gharbi,Paris Saint-Germain,France
Neymar,Paris Saint-Germain,Brazil
Julian Draxler,Paris Saint-Germain,Germany
Pablo Sarabia,Paris Saint-Germain,Spain
Ángel Di María,Paris Saint-Germain,Argentina
Kylian Mbappé,Paris Saint-Germain,France
Mauro Icardi,Paris Saint-Germain,Argentina
Arnaud Kalimuendo,Paris Saint-Germain,France
Kenny Nagera,Paris Saint-Germain,France
